codigoClasificador;descripcion
966;"NO SE PUEDE RECUPERAR LOS DATOS DEL CONTRIBUYENTE"
967;"TIEMPO DE ESPERA AGOTADO PARA CONEXION A BASE DE DATOS"
968;"LA ANULACION DE LA FACTURA O NOTA DE CREDITO - DEBITO YA SE ENCUENTRA REVERTIDA"
969;"EL PARAMETRO HASH ES INVALIDO"
970;"EL CUIS EN LA BASE DE DATOS SE ENCUENTRA VIGENTE, NO PUEDE SOLICITAR OTRO"
971;"EL TAMAÃ‘O DEL ARCHIVO EXCEDE EL TAMAÃ‘O PERMITIDO DE 100 MB"
972;"LA CANTIDAD DE FACTURAS ENVIADA EN EL PAQUETE ES MAYOR A LA DEFINIDA EN LA NORMATIVA"
973;"EL CODIGO UNICO DE INICIO DE SISTEMA (CUIS) NO SE ENCUENTRA VIGENTE"
974;"EL RANGO DE FECHAS DEL EVENTO SIGNIFICATIVO PARA REGISTRAR ES INVÃLIDO"
975;"EL SISTEMA NO SE ENCUENTRA AUTORIZADO O SE ENCUENTRA OBSERVADO"
976;"EL CODIGO DEL EVENTO ES INCORRECTO"
977;"NO EXISTEN ACTIVIDADES ASOCIADAS AL NIT"
978;"REVERSION DE LA FACTURA O NOTA DE CREDITO/DEBITO CONFIRMADA"
979;"EL CUIS NO SE ENCUENTRA ASOCIADO AL SISTEMA O A LA SUCURSAL"
980;"EXISTE UN CUIS VIGENTE PARA LA SUCURSAL O PUNTO DE VENTA"
981;"RANGO DE FECHAS DE EVENTO SIGNIFICATIVO INVALIDO"
982;"NO EXISTE PUNTOS DE VENTA ASOCIADOS"
983;"LA FECHA DE ENVIO DEL PAQUETE ESTA FUERA DE PLAZO"
984;"EL EVENTO SIGNIFICATIVO NO CORRESPONDE AL CUFD DEL EVENTO REGISTRADO"
985;"LA CANTIDAD DE FACTURAS ES DIFERENTE A LA DECLARADA"
986;"NIT ACTIVO"
987;"NIT INACTIVO"
988;"CODIGO UNICO DE INICIO DE SISTEMA (CUIS) FUERA DE TOLERANCIA"
989;"API KEY NO VALIDO"
990;"EL CLIENTE NO TIENE ACTIVIDADES RELACIONADAS AL SECTOR QUE INTENTA ASOCIAR"
991;"ERROR EN BASE DE DATOS"
992;"ERROR SERVICIO PADRON"
993;"LA FECHA DE ENVIO ESTA FUERA DE PLAZO"
994;"NIT INEXISTENTE"
995;"SERVICIO NO DISPONIBLE"
996;"RANGO DE FECHAS INVALIDO"
997;"EL NOMBRE EXCEDE EL LIMITE DE CARACTERES PERMITIDOS"
998;"LA DESCRIPCION EXCEDE EL LIMITE DE CARACTERES PERMITIDOS"
999;"ERROR EN LA EJECUCION DEL SERVICIO"
1000;"EL CUF ENVIADO YA EXISTE EN LA BASE DE DATOS DEL SIN"
1001;"EL NIT ENVIADO EN EL XML ES INEXISTENTE O NO CORRESPONDE AL CUFD"
1002;"EL CODIGO UNICO DE FACTURA (CUF) ENVIADO EN EL XML ES INVALIDO"
1003;"EL CODIGO UNICO DE FACTURACION DIARIA (CUFD) ENVIADO EN EL XML ES INVALIDO"
1004;"LA SUCURSAL ENVIADA EN EL XML NO CORRESPONDE A LOS DATOS DEL CUFD"
1005;"LA FACTURA O NOTA DE CREDITO-DEBITO NO PUEDE SER EMITIDA AL MISMO EMISOR"
1006;"EL CUFD ENVIADO NO CORRESPONDE AL EVENTO ASOCIADO AL PAQUETE ENVIADO"
1007;"LA DIRECCION ENVIADA EN EL XML NO CORRESPONDE A LA REGISTRADA EN PADRON"
1008;"EL PUNTO DE VENTA ENVIADO EN EL XML ES INEXISTENTE O INVALIDO"
1009;"LA FECHA DE EMISION ENVIADA EN EL XML NO ES VALIDA PARA EMISION EN LINEA"
1010;"LA FACTURA NO PUEDE SER ENVIADA CON NUMERO DE CI/NIT/CEX 0 PARA MONTOS MAYORES A 3000"
1011;"EL COMPLEMENTO SOLO PUEDE SER ENVIADO CUANDO EL TIPO DE DOCUMENTO ES CARNET DE IDENTIDAD"
1012;"EL NUMERO DE TARJETA SOLO PUEDE SER ENVIADO CUANDO EL METODO DE PAGO SEA CON TARJETA"
1013;"EL CALCULO DEL MONTO TOTAL ES ERRONEO"
1014;"EL CALCULO DEL  MONTO TOTAL MONEDA ES ERRONEO"
1015;"EL CALCULO DEL IMPORTE BASE PARA CREDITO FISCAL ES ERRONEO"
1016;"EL CODIGO DE ACTIVIDAD ECONOMICA NO ESTA HABILITADA PARA EL CONTRIBUYENTE"
1017;"EL CODIGO DE PRODUCTO NO ESTA RELACIONADO A NINGUN ACTIVIDAD ECONOMICA DEL CONTRIBUYENTE"
1018;"EL CALCULO DEL SUBTOTAL ES ERRONEO"
1019;"EL CALCULO DE ICE ESPECIFICO ES ERRONEO"
1020;"EL CALCULO DE ICE PORCENTUAL ES ERRONEO"
1021;"EL MONTO ICE ESPECIFICO ES ERRONEO"
1022;"EL MONTO ICE PORCENTUAL ES ERRONEO"
1023;"EL CODIGO NANDINA ENVIADO EN LA FACTURA ES ERRONEO"
1024;"LA SUMATORIA DE LO DETALLES ES ERRONEA"
1025;"EL MONTO SUJETO A CREDITO FISCAL LEY 317 ES ERRONEO"
1026;"EL MONTO TOTAL SUJETO AL IMPUESTO DEL JUEGO (IJ) ES ERRONEO"
1027;"EL MONTO DE DIFERENCIA DE CAMBIOS ES ERRONEO"
1028;"EL MONTO DE IVA ENVIADO ES ERRONEO"
1029;"EL MONTO TOTAL DEVUELTO ENVIADO ES ERRONEO"
1030;"EL MONTO TOTAL ORIGINAL ENVIADO ES ERRONEO"
1031;"EL MONTO EFECTIVO DE CREDITO O DEBITO DEVUELTO ENVIADO ES ERRONEO"
1032;"EL MONTO TOTAL DE IMPUESTO A LA PARTICIPACION EN JUEGO (IPJ) ES ERRONEO"
1033;"EL MONTO DEVUELTO ES MAYOR AL MONTO ORIGINAL"
1034;"LA FECHA DE EMISION ES MENOR AL PERIODO ANTERIOR"
1035;"FORMATO DE FECHA INCORRECTA"
1036;"NOMINATIVIDAD INCORRECTA PARA NOMBRE/RAZON SOCIAL"
1037;"EL NUMERO DOCUMENTO DE TIPO NIT NO ES VALIDO"
1038;"NIT CONJUNTO NO VALIDO"
1039;"FECHA EMISION PARA ENVIO MASIVO INCORRECTO"
1040;"FECHA DE EMISION NO SE ENCUENTRA EN EL RANGO DE CONTINGENCIA"
1041;"LA FECHA DE EMISION NO SE ENCUENTRA DENTRO DEL PLAZO ESTABLECIDO EN NORMA"
1042;"EL NIT DEL MEDICO ENVIADO NO ES VALIDO"
1043;"EL MONTO CONCILIADO ENVIADO ES ERRONEO"
1044;"EL MONTO TOTAL CONCILIADO ENVIADO ES ERRONEO"
1045;"VALOR DE CAFC NO VALIDO PARA LA FACTURA"
1046;"FECHA EMISION PARA EL CAFC ENVIADO INCORRECTO"
1047;"NUMERO FACTURA PARA EL CAFC ENVIADO INCORRECTO"
1048;"FACTURA DE LA NOTA CREDITO DEBITO NO ENCONTRADA"
1049;"DETALLE DE LA NOTA DIFERENTE AL DETALLE DE LA FACTURA ORIGINAL"
1050;"MONTO GIFT CARD NO CORRESPONDE AL METODO DE PAGO"
1051;"FECHA DE FACTURA INCORRECTA"
1052;"EL CALCULO DEL MONTO IEHD ES ERRONEO"
1053;"LA ACTIVIDAD DE LA NOTA DE CREDITO DEBITO NO SE ENCUENTRA AUTORIZADA PARA ESTE PLAZO"
1054;"EL MONTO DESCUENTO CREDITO DEBITO ES ERRONEO"
1055;"EL MONTO TARIFA ES ERRONEO"
1056;"EL TIPO DE CAMBIO ES ERRONEO"
1057;"EL MONTO TOTAL MONEDA ES ERRONEO"
1058;"EL MONTO TOTAL SUJETO IVA ES ERRONEO"
1059;"LA RAZON SOCIAL ES ERRONEA"
1060;"EL MONTO DETALLE ES ERRONEO"
2000;"ADVERTENCIA: EL NUMERO FACTURA ENVIADO TIENE ERROR DE CORRELATIVIDAD"
2001;"ADVERTENCIA: LA FECHA DE EMISION ENVIADA NO SE ENCUENTRA DENTRO DEL RANGO DEL EVENTO DE CONTINGENCIA ASOCIADO"
2002;"ADVERTENCIA: LA FECHA DE EMISION ENVIADA NO ES VALIDA PARA LA EMISION MASIVA"
2003;"ADVERTENCIA: LA FACTURA NO PUEDE SER ENVIADA CON NUMERO DE CI/NIT/CEX 0 PARA MONTOS MAYORES A 3000"
2004;"ADVERTENCIA: EL COMPLEMENTO SOLO PUEDE SER ENVIADO CUANDO EL TIPO DE DOCUMENTO ES CARNET DE IDENTIDAD"
2005;"ADVERTENCIA: EL NIT DEL CLIENTE ENVIADO EN EL CAMPO NUMERO DE DOCUMENTO NO ES VALIDO"
2006;"ADVERTENCIA: EL NUMERO DE TARJETA SOLO PUEDE SER ENVIADO CUANDO EL METODO DE PAGO SEA CON TARJETA"
2007;"ADVERTENCIA: EL CALCULO DEL MONTO TOTAL ES ERRONEO"
2008;"ADVERTENCIA: EL CALCULO DEL  MONTO TOTAL MONEDA ES ERRONEO"
2009;"ADVERTENCIA: EL CALCULO DEL IMPORTE BASE PARA CREDITO FISCAL ES ERRONEO"
2010;"ADVERTENCIA: EL CODIGO DE ACTIVIDAD ECONOMICA NO ESTA HABILITADA PARA EL CONTRIBUYENTE"
2011;"ADVERTENCIA: EL CODIGO DE PRODUCTO NO ESTA RELACIONADO A NINGUN ACTIVIDAD ECONOMICA DEL CONTRIBUYENTE"
2012;"ADVERTENCIA: EL CALCULO DEL SUBTOTAL ES ERRONEO"
2013;"ADVERTENCIA: LA FACTURA O NOTA DE CREDITO-DEBITO NO PUEDE SER EMITIDA AL MISMO EMISOR"
2014;"ADVERTENCIA: LA DIRECCION ENVIADA EN EL XML NO CORRESPONDE A LA REGISTRADA EN PADRON"
2015;"ADVERTENCIA: EL CALCULO DE ICE ESPECIFICO ES ERRONEO"
2016;"ADVERTENCIA: EL CALCULO DE ICE PORCENTUAL ES ERRONEO"
2017;"ADVERTENCIA: EL MONTO ICE ESPECIFICO ES ERRONEO"
2018;"ADVERTENCIA: EL MONTO ICE PORCENTUAL ES ERRONEO"
2019;"ADVERTENCIA: EL CODIGO NANDINA ENVIADO EN LA FACTURA ES ERRONEO"
3000;"EL NIT NO TIENE CONTRATO VIGENTE"
3001;"LA CATEGORIA DE CONTRATO NO CORRESPONDE AL SECTOR"
3002;"LA SOLICITUD EXCEDE EL LIMITE DE CUFD MASIVO PERMITIDO"
3003;"MARCA: NO TIENE FORMULARIOS 200 Y 210 VIGENTES"
3004;"MARCA: DOMICILIO INEXISTENTE"
3005;"MARCA: BLOQUEO DE DOSIFICACION ORIGINADOS EN FISCALIZACION"
3006;"MARCA: BLOQUEO DE DOSIFICACION ORIGINADOS EN JURIDICA"
3007;"MARCA: NO CUMPLE CON OBLIGATORIEDAD DE PRESENTACION DE DDJJ"
3008;"ADVERTENCIA: EL CUIS ESTA A PUNTO DE CADUCAR, GENERE UN NUEVO CUIS POR FAVOR"
